index;EER;Raumwaerme;Klima- und Prozesskaelte;Strom;Stoffl. Nutzung
PtH Heizstab;0,99;4,00;0,00;0,00;0,00
PtH Luftwaermepumpe;3,40;5,00;0,00;0,00;0,00
PtH Erdwaermepumpe;3,80;5,00;0,00;0,00;0,00
Festbrennstoffkessel;0,85;22,00;0,00;0,00;0,00
Heizkessel Gas;0,93;37,00;0,00;0,00;0,00
Heizkessel Oel;0,90;12,00;0,00;0,00;0,00
Waermeuebergabestation;0,91;15,00;0,00;0,00;0,00
Kompressionskaelte;3,30;0,00;100,00;0,00;0,00
Sorptionskaelte;1,00;0,00;0,00;0,00;0,00
Elektrogeraete;1,00;0,00;0,00;100,00;0,00
Papierfabrik;1,00;0,00;0,00;0,00;0,00
Summe;;33,70;0,40;7,40;0,00
