;0
(('Batterie', 'Strom'), 'flow');2334730,441927242
(('Biogas', 'Strom'), 'flow');1058273,7800000003
(('Biomasse_Strom', 'Strom'), 'flow');0,0
(('GuD', 'Strom'), 'flow');688246,4040834378
(('Import_Strom', 'Strom'), 'flow');3110691,2480122927
(('PV_Aufdach_Erfurt', 'Strom'), 'flow');0,0
(('PV_Aufdach_Gera', 'Strom'), 'flow');0,0
(('PV_Aufdach_Hildburghausen', 'Strom'), 'flow');0,0
(('PV_Aufdach_Nordhausen', 'Strom'), 'flow');0,0
(('PV_Freifeld_Erfurt', 'Strom'), 'flow');1847755,7324791916
(('PV_Freifeld_Gera', 'Strom'), 'flow');32815,79851715864
(('PV_Freifeld_Hildburghausen', 'Strom'), 'flow');1642581,7371079028
(('PV_Freifeld_Nordhausen', 'Strom'), 'flow');969463,9971555768
(('Pumpspeicherkraftwerk', 'Strom'), 'flow');485525,1251707193
(('Strom', 'Batterie'), 'flow');2594144,935474714
(('Strom', 'Elektrodenheizkessel'), 'flow');1139118,266932489
(('Strom', 'Elektrolyse'), 'flow');2722025,0184239964
(('Strom', 'Export_Strom'), 'flow');5511252,639678528
(('Strom', 'Last_Strom_ges'), 'flow');12510601,717206296
(('Strom', 'Pumpspeicherkraftwerk'), 'flow');606906,4064633993
(('Strom', 'Waermepumpe_Abwaerme'), 'flow');0,0
(('Strom', 'Waermepumpe_Fluss'), 'flow');0,0
(('Strom', 'excess_b_el2'), 'flow');0,0
(('Wasserkraft', 'Strom'), 'flow');195292,55999999997
(('Wind_Erfurt', 'Strom'), 'flow');3756029,7174863005
(('Wind_Gera', 'Strom'), 'flow');4111779,1366970497
(('Wind_Hildburghausen', 'Strom'), 'flow');2069342,5942732499
(('Wind_Nordhausen', 'Strom'), 'flow');2781520,7112692995
(('brezel', 'Strom'), 'flow');0,0
(('Biogaseinspeisung_Bestandsanlagen', 'Gas'), 'flow');0,0
(('Biogaseinspeisung_Neuanlagen', 'Gas'), 'flow');0,0
(('Erdgasspeicher', 'Gas'), 'flow');0,0
(('Gas', 'Erdgasspeicher'), 'flow');0,0
(('Gas', 'GuD'), 'flow');1529436,4535187497
(('Gas', 'Last_Gas_ges'), 'flow');9406267,51334278
(('Gas', 'Materialbedarf_Gas'), 'flow');27777,77777777777
(('Gas', 'excess_b_gas2'), 'flow');0,0
(('Import_Gas', 'Gas'), 'flow');10963481,744639307
(('Methanisierung', 'Gas'), 'flow');0,0
(('Wasserstoffeinspeisung', 'Gas'), 'flow');0,0
(('Import_Oel', 'Oel_Kraftstoffe'), 'flow');12149231,404666185
(('Import_Synt', 'Oel_Kraftstoffe'), 'flow');0,0
(('Oel_Kraftstoffe', 'Last_Oel_ges'), 'flow');2512033,3370333333
(('Oel_Kraftstoffe', 'Last_Verkehr_ges'), 'flow');8498309,178743958
(('Oel_Kraftstoffe', 'Materialbedarf_Oel'), 'flow');1138888,888888889
(('Oel_Kraftstoffe', 'excess_b_oel_kraftstoffe'), 'flow');0,0
(('PtL', 'Oel_Kraftstoffe'), 'flow');0,0
(('Bio', 'Biogas'), 'flow');2784931,0
(('Bio', 'Biogaseinspeisung_Bestandsanlagen'), 'flow');0,0
(('Bio', 'Biogaseinspeisung_Neuanlagen'), 'flow');0,0
(('Bio', 'excess_b_bio'), 'flow');0,0
(('Import_Festbrennstoffe', 'Bio'), 'flow');2784931,0
(('BioHolz', 'BioTransformer'), 'flow');6056273,00000002
(('BioHolz', 'Biomasse_Strom'), 'flow');0,0
(('BioHolz', 'Biomasse_Waerme'), 'flow');0,0
(('Import_Holz', 'BioHolz'), 'flow');6056273,00000002
(('BioTransformer', 'Festbrennstoffe'), 'flow');6056273,00000002
(('Festbrennstoffe', 'Last_Biomasse_ges'), 'flow');6471616,680626175
(('Import_Braunkohle', 'Festbrennstoffe'), 'flow');0,0
(('Import_Steinkohle', 'Festbrennstoffe'), 'flow');415343,6806261558
(('Biogas', 'Fernwaerme'), 'flow');1364616,1900000004
(('Biomasse_Waerme', 'Fernwaerme'), 'flow');0,0
(('Elektrodenheizkessel', 'Fernwaerme'), 'flow');1127727,084263164
(('Fernwaerme', 'Last_Fernwaerme_ges'), 'flow');3126373,6263736067
(('Fernwaerme', 'Waermespeicher'), 'flow');1247260,5750798548
(('Fernwaerme', 'excess_b_fern'), 'flow');0,0
(('GuD', 'Fernwaerme'), 'flow');657657,6750130624
(('ST', 'Fernwaerme'), 'flow');0,0
(('Waermepumpe_Abwaerme', 'Fernwaerme'), 'flow');0,0
(('Waermepumpe_Fluss', 'Fernwaerme'), 'flow');0,0
(('Waermespeicher', 'Fernwaerme'), 'flow');1223633,2521772352
(('Elektrolyse', 'Wasserstoff'), 'flow');2286501,015476157
(('H2speicher', 'Wasserstoff'), 'flow');0,0
(('Wasserstoff', 'Export_Wasserstoff'), 'flow');2286501,015476157
(('Wasserstoff', 'H2speicher'), 'flow');0,0
(('Wasserstoff', 'Last_Wasserstoff_ges'), 'flow');0,0
(('Wasserstoff', 'Methanisierung'), 'flow');0,0
(('Wasserstoff', 'PtL'), 'flow');0,0
(('Wasserstoff', 'Wasserstoffeinspeisung'), 'flow');0,0
(('Wasserstoff', 'brezel'), 'flow');0,0
(('Wasserstoff', 'excess_b_was2'), 'flow');0,0
