,0
Leistungen,------------------------------------------------------------------
PV_Dach,0.0
PV_Feld,4729.07102221284
Wind,5570.0
Wasser,31.0
Biogas_el,120.8075091324201
Biomasse_Strom,0.0
Brennstoffzelle,0.0
GuD,258.8861093262847
Solarthermie,0.0
Biomasse_Waerme,0.0
WP_Fluss,0.0
WP_Abwaerme,0.0
Heizstab,1469.8975605577098
Elektrolyse,308.0
Wasserstoffeinspeisung,0.0
B2G_Best.,0.0
B2G_Neu,0.0
Methanisierung,0.0
PtL,0.0
Speicherkapazitäten,------------------------------------------------------------------
Natriumspeicher,5000.0
Waermespeicher,69511.65458382899
Pumpspeicher,2304.0
Erdgasspeicher,0.0
Wasserstoffspeicher,0.0
Emissionen,------------------------------------------------------------------
Gasemissionen,2203659.8306725007
Oelemissionen,3231695.553641205
Stromemissionen,673837.9381444228
Steinkohleemissionen,139555.47669038834
Braunkohleemissionen,0.0
Summe aller Emissionen,6248748.799148518
Kosten,------------------------------------------------------------------
Annuitaet,1250.6320725068856
OPEX,247.50040996036313
Im-/Export,1055.1938500141605
Netz,31.120357730236925
Gesamtkosten,2584.446690211646
Energiemengen,------------------------------------------------------------------
Stromimport,3110691.2480122927
Stromexport,5511252.639678528
